Position_Index,sc1_pos_x,sc1_pos_y,sc1_pos_z,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_pos_x,sc2_pos_y,sc2_pos_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_pos_x,sc3_pos_y,sc3_pos_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_pos_x,sc4_pos_y,sc4_pos_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_pos_x,sc5_pos_y,sc5_pos_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_pos_x,sc6_pos_y,sc6_pos_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_pos_x,sc7_pos_y,sc7_pos_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
20,43374282.828282826,-62358575.75757576,-6371000.0,-1.5633939542332097e-11,-1.1378476541181491e-09,1.723155559629333e-08,46721109.22657283,-56937469.431655765,0.0,2.445707074945581e-09,-1.3479714457758201e-11,2.5160460329268477e-08,42026293.396602824,-54039032.73916576,-9556500.0,2.973320432888629e-09,-9.173638499979879e-09,4.0170391282628356e-08,51415925.05654282,-59835906.060435764,-9556500.0,-3.601591135421378e-09,3.0240275798935906e-09,-2.8768138360480362e-08,43852400.894282825,-61584131.96942576,-5460857.16106,5.335346073813137e-11,-1.2591017516134572e-09,1.9350155785818238e-08,43181712.91857283,-61170069.59388576,-6826071.41947,4.2308970558164116e-10,-2.8856770341259303e-09,2.5341586423229303e-08,44523088.86999282,-61998194.34496576,-6826071.41947,-6.307301128754436e-10,3.43409020154004e-11,9.36179833858197e-09
21,43631696.96969697,-61972454.54545455,-6371000.0,-4.272664052061134e-11,-1.2260370040810688e-09,1.746422264102197e-08,46978523.36798697,-56551348.21953455,0.0,2.457706417997753e-09,2.065857256827286e-11,2.5746247292300056e-08,42283707.53801697,-53652911.52704455,-9556500.0,3.0699787087333193e-09,-9.153238513609549e-09,4.046861025615426e-08,51673339.197956964,-59449784.84831455,-9556500.0,-3.4881736078463643e-09,2.836321086807226e-09,-2.8857230831362052e-08,44109815.03569697,-61198010.75730455,-5460857.16106,6.597668838225124e-11,-1.2801296376075067e-09,1.9783426965822872e-08,43439127.05998697,-60783948.381764546,-6826071.41947,4.136651459423016e-10,-2.8844305853375924e-09,2.527530127269235e-08,44780503.011406966,-61612073.13284455,-6826071.41947,-6.617004481958123e-10,-4.3857194992229614e-11,9.957856845902199e-09
22,43889111.11111111,-61586333.333333336,-6371000.0,-6.566148520095737e-11,-1.302642901726641e-09,1.7825586867270448e-08,47235937.50940111,-56165227.00741334,0.0,2.4440464305612103e-09,-4.176331643055035e-11,2.513269918763136e-08,42541121.67943111,-53266790.31492334,-9556500.0,3.1651863829097454e-09,-9.143173456442123e-09,4.077778881926966e-08,51930753.33937111,-59063663.63619334,-9556500.0,-3.3525516454533113e-09,2.663681473400216e-09,-2.8831207573254857e-08,44367229.17711111,-60811889.54518334,-5460857.16106,1.3019662747712615e-10,-1.2232711827262173e-09,2.007266524645459e-08,43696541.201401114,-60397827.169643335,-6826071.41947,4.601164353919021e-10,-2.7871055976604013e-09,2.5064487895903805e-08,45037917.15282111,-61225951.92072334,-6826071.41947,-6.89876715265191e-10,-1.3612992542873322e-10,1.0587170429432799e-08
23,44146525.252525255,-61200212.121212125,-6371000.0,-8.443847358336998e-11,-1.367665347054867e-09,1.8315648275038762e-08,47493351.650815256,-55779105.79529213,0.0,2.429541203991897e-09,-8.055272102588425e-11,2.47223815207563e-08,42798535.820845254,-52880669.10280213,-9556500.0,3.2651301214157134e-09,-9.135034191581326e-09,4.108462028198334e-08,52188167.48078525,-58677542.42407213,-9556500.0,-3.2205182876812936e-09,2.5331897227164272e-09,-2.8897931992388426e-08,44624643.318525255,-60425768.33306213,-5460857.16106,2.665143015833744e-10,-1.0854365671523842e-09,2.0292060274919624e-08,43953955.34281526,-60011705.957522124,-6826071.41947,5.470828041975487e-10,-2.6706658473064623e-09,2.5120138881398844e-08,45295331.29423525,-60839830.70860213,-6826071.41947,-6.781923116111979e-10,-2.932207387183285e-10,1.0516646237896415e-08
24,44403939.39393939,-60814090.90909091,-6371000.0,-4.4354907156969983e-11,-1.337595855933741e-09,1.86524645017334e-08,47750765.79222939,-55392984.58317091,0.0,2.4156449354213454e-09,-8.78327720828702e-11,2.4658311815934567e-08,43055949.96225939,-52494547.89068091,-9556500.0,3.385837254192207e-09,-9.094863164291434e-09,4.134810874387635e-08,52445581.62219939,-58291421.21195091,-9556500.0,-3.1046494942497856e-09,2.431341409640011e-09,-2.9018714933399204e-08,44882057.45993939,-60039647.12094091,-5460857.16106,4.2911711283377107e-10,-9.397175600918142e-10,2.078112280114021e-08,44211369.48422939,-59625584.745400906,-6826071.41947,6.745642523592484e-10,-2.5351113342757937e-09,2.5442254229177564e-08,45552745.43564939,-60453709.49648091,-6826071.41947,-5.939768020723356e-10,-3.3592839816849965e-10,1.0213173298360744e-08
25,44661353.535353534,-60427969.696969695,-6371000.0,8.221546426312003e-11,-1.2032038400006387e-09,1.891718459760383e-08,48008179.933643535,-55006863.3710497,0.0,2.402357624849564e-09,-6.360346960148743e-11,2.494049007316589e-08,43313364.10367353,-52108426.6785597,-9556500.0,3.5281411256753393e-09,-9.015198423693565e-09,4.1589847478420095e-08,52702995.76361353,-57905299.9998297,-9556500.0,-2.990600360976426e-09,2.2704972019461115e-09,-2.899813793640055e-08,45139471.60135353,-59653525.9088197,-5460857.16106,5.621144856513545e-10,-8.758828123669215e-10,2.0855857752593895e-08,44468783.62564354,-59239463.533279695,-6826071.41947,8.425607798769875e-10,-2.3804420585683606e-09,2.6030833939239786e-08,45810159.57706353,-60067588.2843597,-6826071.41947,-5.311325481205766e-10,-3.7835574078413064e-10,9.906053967359063e-09
26,44918767.67676768,-60041848.484848484,-6371000.0,2.44557600968622e-10,-1.0534405184541211e-09,1.9449436767581807e-08,48265594.07505768,-54620742.15892849,0.0,2.402218602675223e-09,-2.5222658835033052e-11,2.4826826929862703e-08,43570778.245087676,-51722305.46643849,-9556500.0,3.6576731582836088e-09,-8.961670128931353e-09,4.1852871617657265e-08,52960409.90502767,-57519178.78770849,-9556500.0,-2.8587229232308575e-09,2.116768578006969e-09,-2.896605687235342e-08,45396885.74276768,-59267404.69669849,-5460857.16106,6.394768651886052e-10,-8.783197955694875e-10,2.0438552765034716e-08,44726197.76705768,-58853342.32115848,-6826071.41947,1.0268484735689816e-09,-2.2150863775447746e-09,2.663126826161937e-08,46067573.718477674,-59681467.07223849,-6826071.41947,-4.896595497559106e-10,-4.205027665652323e-10,9.595288244891492e-09
27,45176181.81818182,-59655727.27272727,-6371000.0,3.581028717220028e-10,-1.024766836095588e-09,1.9432861194286053e-08,48523008.21647182,-54234620.94680728,0.0,2.4012878447766343e-09,2.2414635769740464e-12,2.5206483886299478e-08,43828192.38650182,-51336184.254317276,-9556500.0,3.774433352017015e-09,-8.934278280004795e-09,4.2137181161587844e-08,53217824.046441816,-57133057.57558728,-9556500.0,-2.7169267338212764e-09,1.9925488172133508e-09,-2.8912506150014326e-08,45654299.88418182,-58881283.484577276,-5460857.16106,7.046501625742927e-10,-8.666985476680743e-10,1.9959496719674168e-08,44983611.90847182,-58467221.10903727,-6826071.41947,1.210132665022934e-09,-2.067926830594875e-09,2.7076021468204447e-08,46324987.85989182,-59295345.86011728,-6826071.41947,-4.695578069783372e-10,-4.623694755118042e-10,9.280876130958033e-09
28,45433595.95959596,-59269606.06060606,-6371000.0,4.210592015855628e-10,-1.053575764845098e-09,1.9089007394045215e-08,48780422.357885964,-53848499.73468607,0.0,2.399323833517649e-09,1.8725390373725562e-11,2.60943296834926e-08,44085606.52791596,-50950063.042196065,-9556500.0,3.881625869190813e-09,-8.927284538445549e-09,4.243882775635991e-08,53475238.18785596,-56746936.36346607,-9556500.0,-2.565982709699319e-09,1.910945735100734e-09,-2.896199711643113e-08,45911714.02559596,-58495162.272456065,-5460857.16106,8.05661208525984e-10,-8.168893171686535e-10,1.9480142954739564e-08,45241026.049885966,-58081099.89691606,-6826071.41947,1.2722574978630148e-09,-2.0785680122055028e-09,2.6503824221742023e-08,46582402.00130596,-58909224.64799607,-6826071.41947,-4.333431904659534e-10,-4.760790164144625e-10,9.00885013997461e-09
29,45691010.1010101,-58883484.848484844,-6371000.0,4.727104506634897e-10,-1.0714796784723535e-09,1.8665354555167882e-08,49037836.4993001,-53462378.52256485,0.0,2.389023363114286e-09,1.2333715270804376e-11,2.7194683812805098e-08,44343020.6693301,-50563941.83007485,-9556500.0,4.002044491742323e-09,-8.8935332145905e-09,4.271883012622997e-08,53732652.329270095,-56360815.15134485,-9556500.0,-2.4343857931118125e-09,1.7722137693552777e-09,-2.8810870979783124e-08,46169128.1670101,-58109041.06033485,-5460857.16106,9.49049269769535e-10,-7.274723798563621e-10,1.9306125258308042e-08,45498440.1913001,-57694978.68479484,-6826071.41947,1.374880299237996e-09,-2.0490658534789527e-09,2.6124035656096584e-08,46839816.142720096,-58523103.43587485,-6826071.41947,-2.513889331323537e-10,-3.668786450121808e-10,9.057964954790794e-09
