Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1410,-362314.2311502936,-356898.0193920826,-421874.00339835754,-330379.24990831455,-379711.8016640253,-210045.6027730046,-4604.633520857791,-2368.3394069997166,-33849.317259545205,-357311.51139549515,-384240.0543559192,-191367.57866011196,-358437.2996794314,-366968.7198535693,-383224.554555984,-348356.9579781204,-353670.1725493204,-360290.5520243444,-359436.1553930217,-363365.34463430906,-398316.6045836618
1411,-363211.5858877178,-362818.50990443584,-406476.4290979866,-332796.5149628654,-379582.56014536985,-200864.13947649323,-13073.607291331527,-951.1518577414918,-36437.98624523298,-362928.9601940196,-387921.9703383693,-177299.98432563813,-360723.85905847704,-370936.3454881702,-369593.0365043391,-349780.28320254514,-358295.9563217989,-347283.5949993211,-362122.1129878391,-367001.64733145665,-383057.860734915
1412,-365094.23893100297,-367534.51410826924,-391300.9876640874,-334669.4788144612,-378794.2705422039,-191477.5887647285,-21993.409356896344,747.0008388523493,-39546.88628261046,-368115.97728610656,-390338.51667277236,-164385.95728976355,-364219.8290866732,-373725.9722836807,-356139.6333253394,-352611.3703497568,-360874.2577281224,-336165.44186119107,-366134.137332485,-369665.30802608887,-367761.2172587371
1413,-368112.51369191933,-371273.5879748443,-376028.1022001383,-336137.6069441054,-377432.45936152525,-182090.9650266085,-30759.61406311569,2398.768390470711,-43119.25825650297,-373367.5030210569,-391652.18819576944,-152648.6295073992,-368637.95091548335,-375536.81876897527,-342456.949292764,-356671.6327423571,-362062.90139506466,-325815.8057423451,-371244.70413211326,-371715.95324026974,-352243.670282725
1414,-371853.5840729642,-374077.32291207986,-360994.6707485971,-337170.228870592,-375615.29951305885,-173132.14669527588,-38460.0545487879,3360.3257946873955,-47015.90566450692,-378280.1662679949,-392173.6420635085,-141912.2118555581,-373074.58547099587,-376878.8513605533,-328497.4256005296,-360841.07347834215,-362565.842862743,-315744.8219883089,-376604.2420597692,-373547.5988336635,-336976.1360369279
1415,-376258.0462221172,-375890.5248873867,-346630.6764028337,-337710.8766813177,-373699.38167245535,-164949.77808154596,-44919.893764554305,3129.624219229073,-50947.914782534644,-382719.3495119187,-392137.1569592869,-132038.5918980043,-377720.9708990432,-377479.25418383395,-314595.3264591702,-364834.99503645615,-362401.48780646897,-305610.08437231637,-382315.3468790237,-375536.59242691693,-321986.12840717094
1416,-381455.7988348623,-377303.7301815691,-332682.05797482317,-337579.50106411777,-371811.23444971966,-157558.35739870928,-50568.48633286159,1642.806175378957,-54737.770925473305,-386653.97533043136,-391424.174662629,-123012.14120672192,-383189.3025209585,-377690.4956176891,-301939.64314736216,-368973.9447702207,-362125.64105251385,-295057.6187130724,-388816.5442633642,-377593.88411279954,-307552.8220640825
1417,-386887.79875410383,-378509.2886940279,-319463.0431789729,-336658.21181388036,-370010.996591922,-151162.60985715658,-55475.69136778438,-1003.8785948381146,-58224.55957848921,-390113.02383501385,-390199.99133724684,-115066.66598590834,-388244.375504788,-378774.43365587405,-290566.4473241207,-372967.84101998585,-361991.4563412868,-284774.69745917484,-394652.86110059515,-379819.1567741759,-294934.31021939503
1418,-391939.0661716582,-379313.1448322125,-306887.66449001693,-335026.4863774709,-368304.2516900032,-145751.15520881923,-59761.789997406464,-4712.35362176656,-61448.80851240965,-392789.5115940607,-389056.4754667772,-107866.02292124707,-393058.8179478174,-379593.2234020816,-278949.71428702725,-376087.17350965133,-362222.243094953,-274722.3492976436,-399152.144624739,-381398.19399799284,-283128.03308240353
1419,-396856.26555127377,-379695.92536859284,-295073.74936142995,-332861.6248918872,-366797.8686329951,-141285.36934287543,-63616.413391324735,-9159.909368437913,-64378.27531021091,-394654.1973888149,-388038.2959512863,-101361.08372884963,-397880.8883876372,-380287.31439917785,-268161.65659107413,-378978.18159829394,-362341.5107145916,-264626.9266080471,-403828.97040743777,-382499.07044680195,-272453.0189174005
1420,-401820.86381106614,-380157.3411514299,-283741.824758826,-330249.609981227,-365565.6913273472,-137500.94005848927,-67200.543338666,-14233.40454629434,-67066.09297895082,-395889.43357086694,-387050.8877452394,-95604.23781837808,-401507.02316284884,-381040.2129442265,-257777.57550579857,-382047.60090734594,-362863.22573688073,-254800.55625511825,-408073.7423284683,-383996.8080585624,-262859.73141359026
1421,-406369.713591423,-380715.99294015375,-272971.4618825331,-327353.4397186267,-364663.45083775616,-134252.42729043815,-70297.65653936737,-19611.292975529675,-69447.57671355091,-396611.2141115287,-386204.2365698913,-90642.9945528963,-404340.6488623162,-381377.72748644155,-247790.98235686502,-384659.75031048333,-363802.98788394843,-245268.43642523303,-411404.5526861023,-384982.81113242626,-253600.5828501742
1422,-409799.4804069978,-381710.0557773617,-262886.97144925134,-324332.42794304143,-364054.08135172224,-131350.25576335954,-72627.97597586676,-25057.027543783042,-71468.68283211146,-396806.7300695196,-385621.016159683,-86404.08382257992,-406580.32985868905,-381932.03010966314,-238308.31271125993,-386723.912031338,-365391.81274521677,-235999.69574558438,-413529.79812554835,-385919.2120195864,-244874.05613160197
1423,-412162.0117573383,-382719.9278767803,-252377.02781014412,-321217.01390860055,-363719.67596917425,-128529.93411153978,-74253.3081156526,-30611.52584996109,-73154.20837635754,-396556.2015237317,-385205.84444665775,-82844.46847445452,-408200.19541479804,-382314.1743917522,-228738.8840154928,-388337.59073556593,-367801.89914865064,-226316.49136988758,-414514.1218250036,-386308.33013767836,-235567.80334514732
1424,-414184.35379450466,-383006.269485417,-242060.98685266683,-318182.07148688566,-363711.64402802545,-125767.44994401222,-75201.88097792736,-36218.09225784216,-74433.4046520135,-395986.7935938913,-384856.52864035126,-80090.52598688347,-408954.00430278183,-381832.94257635326,-219468.16295707517,-389563.2772664434,-370085.53140734084,-216950.8350409557,-415042.6454054931,-385493.0071644357,-226268.32528242483
1425,-415529.3551552566,-382622.8630446894,-232450.72261349016,-315397.8893680034,-363921.99276384735,-123172.90009150375,-75305.73368526096,-41707.15319860394,-75197.90796705536,-395159.47092852986,-384573.24993553804,-78007.31852321893,-409020.2966893931,-380287.32039769564,-210543.14002485527,-390354.7249730746,-371066.7347701024,-207816.10739163472,-415298.5815137899,-383518.29460246343,-217274.92948029705
