Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1354,-885372.5705912595,-346349.5284624058,164527.3277950433,-845572.687738659,-141753.98421456089,173665.3183061812,-791780.7022742943,-290530.70809965726,189375.33556653367,-725545.3778466391,-392024.5053842738,-11336.485289252274,-957892.2206454256,-340141.481921843,258225.0679175536,-863820.1270244479,-430599.8603286429,154417.31053248714,-895758.543417403,-370268.2083383182,146989.80228908607
1355,-926283.3038263682,-392183.80039940536,181313.6869812511,-902448.9882627655,-160793.2876476771,176073.8477967587,-847717.1189323114,-295873.1871014561,167078.75817053742,-725605.9160946357,-405654.98219630134,-18973.417638223644,-977964.1928441139,-415461.08571897435,250462.39000273397,-872431.2717393856,-484730.7163509991,154695.11076068328,-919690.3171750738,-425498.1828536227,163818.53735311452
1356,-942020.9414864721,-459436.07457591605,185177.8657219981,-954637.2210564662,-194767.7077039417,189552.99828982816,-897485.9372757305,-314910.46170822915,147120.2249527854,-726981.3662321193,-409918.39707630477,-31261.31644774622,-977922.4711257698,-500205.19189027615,225774.23390044185,-865487.2874361398,-534439.9550473222,151639.9097818005,-914331.4557149084,-493143.8635606343,167126.73903559984
1357,-933982.9067101825,-529750.5109715456,180673.42142426805,-991435.5447864957,-234973.45178957155,215078.79670005495,-936449.2267670536,-348301.3095372419,136332.31262191414,-728787.6083465327,-405573.65768187883,-46004.894597978804,-960195.9966742506,-566605.7440317723,198281.82634166654,-855281.2708939081,-564548.9163625191,155152.43280359445,-888222.6746293352,-552019.3349442731,166908.41301164616
1358,-912345.0417470008,-577156.4692268125,178779.70262277225,-1011184.1594595733,-264692.4061487137,242258.46759791573,-963135.0576443654,-390849.81951188995,135197.75560915458,-729368.779457802,-393744.9730629177,-61294.31194936287,-930815.283267858,-600326.1531599351,185310.02116490086,-848387.4102520102,-572004.7092834839,171688.67573117831,-859787.7887423224,-584959.2315673269,174975.22209683087
1359,-889662.8435851394,-593537.5803970519,187035.01146572124,-1015611.8992700678,-277211.46837036905,263788.1901933794,-979091.8284766347,-432848.6305953781,141279.91118315398,-726831.5171321637,-375733.4289049669,-73529.61225185849,-902557.7885521206,-606553.8522842039,194953.9466043865,-851861.8525578963,-561902.9597964993,201568.1663046257,-840842.2716512961,-591175.4031787228,194648.50018736336
1360,-875530.4549604848,-586362.7241362075,208350.30345201705,-1006631.2974858774,-273829.2139491031,277137.92285956285,-990538.6519917236,-464492.6891799802,152443.5197584984,-720598.0695685355,-354832.03879951325,-78562.14809099195,-885022.2072574678,-593514.856064436,224861.40765713563,-872856.8559289158,-540396.2348721732,242121.46456469002,-835558.3652417668,-579178.6989172179,225970.91529772102
1361,-877367.1055971906,-565067.4753927905,242770.20504074736,-991207.8637151626,-258182.4415986025,280487.41016204125,-1001620.8354343723,-479545.7671026004,162215.41391600663,-712365.7918115638,-333247.87493699195,-74596.48090620938,-882541.6422980465,-568269.4394986393,267884.8924430532,-912094.3312039567,-516393.26377420325,284168.6440074067,-850559.1714942422,-556892.0416736661,266285.3813018249
1362,-899483.8630288211,-538509.3939399512,284854.5347114647,-975835.1846580091,-235332.70327343192,275816.9006402196,-1010888.6265983051,-480128.6777563457,166402.94550143724,-703952.1613395028,-312993.1759725086,-62358.458898868834,-893953.4246403389,-540996.3187117158,313544.1143908082,-961541.7901360197,-500065.9487647249,317055.5436117737,-889308.821972441,-531236.1663291816,308618.1664494822
1363,-938095.024915766,-514121.10731552774,325482.8039898936,-961886.9235976156,-212424.25828272034,266882.1913113987,-1015990.7190411427,-469312.1509476136,165435.20699040897,-696328.2034764189,-294130.45656972483,-44448.77259399588,-917173.4434345239,-516633.9962152913,352440.93615128536,-1009640.0008010026,-490910.55879327096,337160.32906448166,-944297.5307106589,-510168.0563292267,343503.13868260925
1364,-981246.3537483177,-497666.71421122376,353662.46717548015,-949450.3356979934,-192337.80177741966,256547.8087342435,-1016522.557323623,-450635.0339466871,163010.4483852905,-689854.4797613516,-275264.8783685497,-24080.62483370427,-946247.5057841884,-494966.334970618,374488.2289016383,-1037636.9302902642,-484186.9327312852,345169.3448020944,-1000558.3820382564,-498538.5763024591,363539.68284350284
1365,-1014143.1186857941,-487979.5025160455,366111.6489912157,-937558.4791574511,-171925.6629230299,245246.872001597,-1016161.3737884422,-428486.08345331857,161372.06576047206,-685323.5137520891,-254547.3583367319,-2439.4676945373067,-969544.7306628688,-473134.1236828106,377429.2186645926,-1039977.6118170182,-476019.92665865173,344359.311611629,-1038720.8614274454,-491205.65470321337,369688.88071890187
1366,-1025690.1995517961,-479551.3027337705,366287.21043643105,-925795.4830330797,-149993.06038796017,235308.41517756414,-1015474.1713903823,-406507.30794165656,161086.8440458749,-683311.6460719827,-232197.69391448528,19809.67761190422,-980520.4561821336,-448369.58801656606,365103.1464283653,-1026900.1594427723,-461787.97822610295,338595.9841168992,-1049289.5070200763,-481475.8833474109,366380.9177380166
1367,-1019020.9192115758,-465147.7115606064,359394.02019792376,-912526.382624207,-128727.55487113871,228484.83475505622,-1014243.4616714009,-385742.0375013232,163288.18198610903,-684084.0408658357,-208420.77096020768,43251.985887903116,-982017.2044566434,-416312.2123606516,343148.0251906958,-1009386.9086118789,-437909.6908935214,331307.14372370846,-1038694.4003095713,-466357.82712450053,360449.8813100075
1368,-1003995.223746452,-442281.56624246616,349557.2271741245,-897086.8829730924,-110804.97489614086,224137.12669480674,-1010920.6362246205,-364082.5616380403,167024.49918419513,-687513.4072326727,-184784.0024038365,67143.3738133566,-980915.6834943516,-379201.4536528238,321614.81180201867,-993138.5291805113,-408446.71689199016,326268.04013504204,-1018144.6317421946,-446041.27999522234,357663.01114481466
1369,-989033.0966635538,-415527.58886539866,342403.7489711491,-880645.0236567475,-96609.36831325523,222549.62266829438,-1005003.948188328,-341232.00007568876,170513.80939424387,-692797.7651346507,-162738.75655982338,90688.83218888473,-983907.214517815,-346719.50011695304,314071.72460178926,-981444.0817043636,-381966.5862266121,328262.9252074081,-995657.093895496,-422202.0028373159,360631.5220676791
1370,-978182.6134543217,-391026.2795697388,344273.65159215766,-864109.5251146038,-85347.172751242,222977.51024701836,-997263.4697337791,-318689.9921935666,172901.53404097573,-698853.1514304357,-142737.78462836484,113884.7941548758,-991333.2655754278,-325471.7562483018,324743.5617699672,-974802.3893609364,-362519.4539997244,339951.73718451697,-972877.5093746614,-393865.3635624392,368568.38958108885
1371,-971398.6610728926,-370950.6584111452,356695.74636905425,-848539.0501172956,-76342.95493327564,224649.80095876215,-988643.1082014714,-298349.0551823173,173388.0879166142,-704424.7815512649,-124947.00704247935,136173.2667131536,-996263.7010430419,-313458.76125463995,342663.17811995547,-970833.238682595,-346407.63988747634,354947.848869356,-949951.2427544154,-360882.9059039232,378120.2676904383
1372,-965923.463213225,-350746.9013914078,371207.70343458134,-835134.1697808398,-68549.14052390713,228392.9469684044,-978963.4940597856,-280483.58998792205,172795.65624845115,-707107.6166504382,-108081.79031703189,157719.0639978028,-994289.9782392371,-302161.57828265685,353315.2993254743,-967355.8165358319,-329177.6399685747,364036.40134077147,-927767.3064785254,-325192.6586186633,385167.60630975896
