Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1351,-775575.9154441402,-205211.982987103,223662.74033371516,-549249.527892262,-171140.81798257094,105849.4749879706,-704984.0354665621,-223840.45143969954,188156.13301467246,-546493.6910183122,-63217.81768643573,19278.646882442823,-800771.9761734054,-253070.0944382954,205275.70143586083,-801473.2754569326,-157776.78285948388,210446.4061791592,-839213.4266380314,-141915.7574298655,302345.04615756636
1352,-832981.5679192863,-197627.1548982496,242784.9281701664,-557415.2533550175,-173952.06568517862,142010.1282200318,-763853.0610307193,-227787.0229655517,164389.84435169565,-566954.9928858551,-68170.44796665297,25926.756864805964,-864607.9899726147,-260640.10514496642,229327.46221806115,-835154.5499039332,-152495.86557588997,230098.22937676948,-870528.7279564636,-154531.187931545,313641.84472124645
1353,-880081.070046192,-201677.4419087464,264178.4639557499,-574322.9657983892,-167271.70274302416,175269.54866105493,-812484.3410314468,-241378.33677020943,147677.31050866493,-586716.264707448,-69784.24443431426,27740.65903868735,-919063.4369747379,-284821.4268552443,251821.61528115784,-852857.9101780485,-174720.97101901833,255257.07773648395,-887751.241973219,-197535.28153522642,317916.00914461224
1354,-913931.6736115386,-230610.15313891915,283052.0608410084,-600019.439970267,-153664.7406958649,205419.635386871,-845811.5871875475,-262384.12681110366,136715.96089620964,-608470.0287712265,-67861.93312591367,23514.965657619327,-957988.6466613493,-335974.2230942821,262917.8630662807,-859651.3416094749,-229564.92616127836,279381.4408915841,-897654.8556808607,-265554.3596910864,306342.90436416806
1355,-935244.7614261126,-288838.67717544746,289815.2515567419,-631809.8068085023,-136690.62798619544,231929.91637996002,-869745.1502323302,-284910.76754118036,125701.53182139811,-633500.7942756086,-62259.19484772368,16131.314292946528,-977156.9168224058,-411994.25712030707,254310.9568892498,-864761.8765185187,-305140.8874858292,290117.6246427117,-909615.1384867122,-341548.34797284805,274596.8037292772
1356,-947314.890726492,-369407.0977951807,277072.43782754696,-667410.5459268708,-120838.46947590499,254485.44664191574,-889582.4309877787,-312008.05034326005,110398.550451519,-660129.4113495935,-53047.47089894024,7777.185587763314,-977385.1261737454,-496942.0210354752,228384.2125412208,-874391.8112301497,-390053.2056469756,279561.53746940417,-929960.4579267724,-415192.59322084975,227958.1908211476
1357,-953013.4402333072,-453559.0680002066,245842.5127618474,-702294.2330603253,-110084.15850571667,271811.8474190834,-901220.2030605891,-346741.8196742358,91394.47704548668,-683867.6212220683,-40853.72971693565,-1653.239215168407,-960560.2928137325,-563802.3039950294,199438.2695317363,-887046.6811414793,-471608.2825569046,248188.9625781322,-954113.7555564551,-479598.6228848841,181434.02537898003
1358,-950898.508724364,-522490.9322121219,209015.41412633733,-732076.7337872965,-105845.12686451868,283888.12008197594,-900760.9865854362,-382340.59098285926,70534.61871754061,-703192.5118781986,-27565.427643022478,-14296.357722383007,-932101.500400794,-598497.4039271798,185428.9204364566,-893169.4764576143,-534415.232200468,215559.02684571044,-970874.6781141644,-530510.0491489394,156583.8598312683
1359,-940493.0658421562,-565407.1172877118,188776.3818604792,-754185.4461663477,-107170.34612970307,291062.6010678035,-889919.7261398062,-407691.0978861222,53822.31038069398,-717591.2231081808,-14505.907988040271,-30773.74264441104,-904358.0230548903,-606149.2422333041,194769.8037552098,-889336.8872041036,-569349.6403462448,206543.6026050773,-976008.2358990664,-565596.055790911,167625.43079629526
1360,-926403.968807769,-585659.9133471545,196183.22241864118,-767707.844746874,-107672.35753610733,293787.8201399799,-872918.587903134,-422500.54807667277,44886.053876407896,-726316.9912372226,-664.7876226423759,-49601.84540130282,-886513.9549955851,-594321.6449337869,224881.99925432904,-880241.3714586279,-581738.6191194097,227203.61247132736,-971911.2275808544,-581982.9108307995,213283.45704520465
1361,-913393.4757439285,-585634.31310886,230674.05767000478,-773167.9233327794,-103382.92550599136,291176.3176183076,-856501.2762069748,-425130.32639027527,43554.89862567883,-725762.3581574472,13181.03082212673,-68487.06578641079,-882614.0786518191,-569497.8972663439,268028.5304365853,-873344.2320810725,-573146.5635623409,272393.5406745271,-964672.0986136954,-574344.7955190893,278132.3477879441
1362,-906538.6021103414,-568605.6126168938,281679.60477537464,-772225.7302443305,-94343.25520148326,284421.0532575373,-845000.3235557873,-414842.1594611333,46108.12400238946,-714686.4469823168,25704.11924647318,-85921.57878429911,-891854.3544749575,-542236.1223427,313607.78925021493,-874718.7851397055,-548399.1637053533,322966.48253109626,-961395.3029914186,-550028.3536648734,339822.4490336977
1363,-908219.8989060398,-541923.6344168008,334966.8847117307,-766273.6275853078,-83559.66470786858,277290.5985312937,-837762.1656363012,-395133.0491536377,51218.98957202586,-695211.2196386,36652.81619212287,-101164.46654173506,-913061.2698711718,-517473.2062786666,352827.07663194713,-880821.2377990206,-514963.81127134967,367316.4073623438,-965769.0001273617,-518259.5679343923,386819.52158573497
1364,-918177.002705511,-512459.52460659074,377935.3768353701,-756234.9922786811,-71460.98772508395,270900.69284454244,-834020.2553979706,-372312.4218060017,58720.48686693133,-670044.4913577822,44401.19597865176,-113658.15296654231,-941037.7637228429,-494811.7547610819,375572.630495732,-890885.3960389151,-480394.2311499823,397659.69693978224,-978927.663039983,-485249.23544728727,412556.2692003038
1365,-936342.7852693446,-483233.0395791335,402889.75837408914,-743933.192233943,-57666.20282049265,263905.83693297795,-833308.964002968,-347731.4482666082,68960.44500190606,-642899.2707556492,49622.31877614686,-122784.20700403406,-964633.4174998837,-471594.53978375683,378961.10033631197,-908310.3390566374,-446252.2371651772,407469.21878713556,-999218.2958883654,-452673.418425741,413688.008720424
1366,-957224.7188493137,-454656.66172685236,406359.4584025873,-730679.9916964924,-43329.386400118805,256075.31562395336,-833699.0832896682,-320085.79487546673,80591.42949254825,-618012.7644230279,54278.478274278015,-126879.33765630558,-976939.9465211221,-445652.0161625967,366312.85021878115,-927904.3436978405,-411711.58381187863,394712.30643495044,-1019945.882561995,-416494.8935805621,390815.1351516473
1367,-973047.5743417499,-422453.091335605,389075.78608294815,-717156.9732895924,-27806.627610425912,247163.82432968047,-832437.1077756173,-286570.2328736106,91717.97373699093,-595872.971706454,58729.5222345721,-125512.56122327659,-979885.287519272,-412607.4510563897,343337.10859801935,-945319.646253637,-372896.656671232,364196.095693011,-1036306.1285918399,-370080.74306287174,349904.1816131528
1368,-981430.8285045024,-381553.97822134534,356112.36328162893,-704841.3641550841,-12284.650404894752,238252.3678322325,-827964.5407289445,-248435.9417133261,102107.72159690756,-577472.0254379454,62701.61217415764,-121111.7468951212,-980007.4184971442,-374401.13796346996,320490.9656870285,-962499.6925721465,-330680.3681996515,330010.5663205052,-1048980.1274568625,-314393.2363662588,308220.341511611
1369,-986569.553611795,-334986.44017370173,323467.3102126863,-694311.7381438089,3702.040428125214,228134.4677915046,-820449.3736960007,-209067.0407030032,113156.67094090472,-563836.823917287,66623.68851903352,-115731.39249982907,-984179.177114466,-340860.86055936036,311962.1930375018,-981427.2243163155,-289967.4156450906,308749.20257424616,-1059652.0223591134,-260302.2449878964,285320.7178598992
