Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1352,-5.750114992861526e-09,4.881611054204237e-10,4.217363581890398e-09,8.971870461280327e-09,-3.000791814753714e-10,-6.762548696632385e-10,-1.1906942963648496e-08,1.1492369052849282e-09,1.2868308368739312e-09,-5.6100962983809035e-09,6.923482443014629e-10,3.0550257935125307e-09,-4.387992382142423e-09,5.547984261981125e-10,4.075552974132755e-09,-6.406543483922558e-09,4.812783769500281e-10,3.945667455436227e-09,-5.655469847799619e-09,8.649619100676964e-10,4.229756689084021e-09
1353,-5.8175711131025774e-09,7.433775615743753e-10,4.123726905548486e-09,9.034120698735281e-09,-5.867634621855352e-10,-5.876464743444437e-10,-1.1739173473121672e-08,1.3480115489100616e-09,1.3248174028339766e-09,-5.940395219527977e-09,5.34167924051082e-10,2.6572501273998844e-09,-4.268092960194886e-09,7.612263335151426e-10,3.796121802514069e-09,-6.475094600117339e-09,7.10530242744065e-10,3.656673632958603e-09,-5.86766005150009e-09,1.1015488842509384e-09,4.047557899065427e-09
1354,-5.895329878555794e-09,9.855644831667058e-10,3.8348067999064845e-09,9.106318138843979e-09,-8.758319501297996e-10,-4.386287310391356e-10,-1.143370151859199e-08,1.486781643360492e-09,1.3874782359246566e-09,-6.208318379397998e-09,3.725543588175199e-10,2.2147234555500074e-09,-4.10317435768749e-09,9.12367795241186e-10,3.276412327816008e-09,-6.5436496147862295e-09,8.877534216146105e-10,3.160650256475357e-09,-6.106313256742709e-09,1.2752313984011477e-09,3.6306585311102793e-09
1355,-5.968275808644693e-09,1.151996222358932e-09,3.327600179561166e-09,9.193125322849154e-09,-1.0794112381600213e-09,-2.77268693924835e-10,-1.0995801304146055e-08,1.533440024836342e-09,1.473262756339999e-09,-6.3970568552103115e-09,2.362954428602593e-10,1.781121480733108e-09,-3.8880825825357685e-09,9.509424348244427e-10,2.606987198578425e-09,-6.631775709826074e-09,9.957600765870783e-10,2.5401112144724775e-09,-6.35299612080191e-09,1.3634395723718516e-09,2.99536497692809e-09
1356,-6.049008476293999e-09,1.232270367298146e-09,2.653924444477016e-09,9.282694167303674e-09,-1.167838518422537e-09,-1.5372759843127327e-10,-1.042439412756399e-08,1.4960685900869052e-09,1.5549242515954922e-09,-6.527437373186107e-09,1.3548149927995147e-10,1.3753072135152803e-09,-3.6755019079043057e-09,8.565106472376418e-10,1.9022094868291233e-09,-6.776035228603214e-09,1.0647813930954386e-09,1.8736453513044016e-09,-6.617938562039422e-09,1.3780588296552924e-09,2.2202644999780186e-09
1357,-6.1661207071356545e-09,1.2395953865968157e-09,1.9332340386611384e-09,9.353890997311741e-09,-1.1815611661066445e-09,-1.1632845704951004e-10,-9.739502514368164e-09,1.3721858779166106e-09,1.5880106364200197e-09,-6.6217882599957175e-09,7.934598216162698e-11,9.981863986952782e-10,-3.605835104198938e-09,7.238899485894819e-10,1.272486209554226e-09,-6.996791860994516e-09,1.1563533724068017e-09,1.2452521899634432e-09,-6.92456085339696e-09,1.3475697619139358e-09,1.4389607073903343e-09
1358,-6.3681953299628315e-09,1.2484529842872835e-09,1.2616512346291978e-09,9.371043118826774e-09,-1.1620438839611853e-09,-2.1663699193665656e-10,-8.946880568867574e-09,1.1492474973112035e-09,1.5480590449473118e-09,-6.7083856589431816e-09,5.919436375539038e-11,6.549521546403668e-10,-3.810411888216196e-09,7.099580708399088e-10,7.388862436298037e-10,-7.288940794630619e-09,1.3110625249069527e-09,6.840868818995355e-10,-7.300551719565896e-09,1.337235222028225e-09,7.53567035025739e-10
1359,-6.672828518091613e-09,1.3067202798366937e-09,6.798074439428425e-10,9.314965337228643e-09,-1.136933617219468e-09,-5.097151982930955e-10,-8.06084707342986e-09,8.389226711841201e-10,1.4074521773270524e-09,-6.806796851146361e-09,7.653101046321192e-11,3.5831911972278496e-10,-4.27582695470767e-09,8.294169885961817e-10,2.6431839621198985e-10,-7.602294711843978e-09,1.488270870882621e-09,2.060642724003182e-10,-7.728840922326956e-09,1.3738348114450768e-09,1.8372474702556709e-10
1360,-7.050036064710553e-09,1.41464015831875e-09,1.5796681564420896e-10,9.196585578305694e-09,-1.1317889610643414e-09,-9.613596199149801e-10,-7.070986534051469e-09,4.700530008221151e-10,1.1511650946372303e-09,-6.9266763793463895e-09,1.1266461844931986e-10,1.2447025232742952e-10,-4.887327547776559e-09,1.0070880623902287e-09,-1.7514984385102529e-10,-7.881733945500163e-09,1.6727649871711803e-09,-1.7481311944602606e-10,-8.162496320455578e-09,1.4543100341439185e-09,-2.985348993244316e-10
1361,-7.425948131217938e-09,1.5565632157653245e-09,-2.757248451879253e-10,9.042071618236956e-09,-1.1664638583549883e-09,-1.4849375340541991e-09,-6.0296710268267025e-09,9.882759630338846e-11,8.045035087285301e-10,-7.0624884845040244e-09,1.6339029984894036e-10,-2.1244489342807798e-11,-5.496105901373213e-09,1.1776482216963101e-09,-5.299056099580369e-10,-8.076903959662173e-09,1.8318752046170707e-09,-4.230895606154196e-10,-8.539502745492564e-09,1.5674035463293861e-09,-6.626954865690601e-10
