Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1429,3.2002782322507198e-09,5.318768534675922e-09,-3.983792619250033e-09,1.025482271525853e-09,-3.526482286444735e-09,1.9515823700454634e-08,1.2855465994962502e-09,-9.548464560760485e-09,3.3797907070079466e-08,-1.2927335989516762e-09,6.005969736793868e-09,-2.538745604605012e-08,2.700375561633118e-09,4.723870526193607e-09,-2.8689573928841217e-09,1.160006286676474e-09,2.6450217225911874e-09,2.1619464674338832e-09,3.7109561116317267e-09,7.49048367369581e-09,-9.240914268601131e-09
1430,3.14574753607829e-09,5.357763947018354e-09,-4.355746975920367e-09,1.1884559951300116e-09,-3.3824064019936506e-09,1.9912431744816338e-08,1.30014084336479e-09,-9.51173588078541e-09,3.380691658710363e-08,-1.6056839465229118e-09,5.922271402562087e-09,-2.5565510576696454e-08,2.595641283392965e-09,4.6390634730574815e-09,-2.858171376345633e-09,1.1994118381488134e-09,2.7703274433526264e-09,2.0971324347206065e-09,3.5717819612432544e-09,7.28154430101086e-09,-9.422305045210329e-09
1431,3.0676291758248507e-09,5.326174878959381e-09,-4.5819428254603935e-09,1.3760967757234605e-09,-3.2243853678880356e-09,2.021731223091395e-08,1.3159689493731365e-09,-9.475396710808312e-09,3.383446544060027e-08,-1.901611271326935e-09,5.834199558394159e-09,-2.5723083445579003e-08,2.477123616530299e-09,4.503475035160652e-09,-2.7038566426666017e-09,1.2203625254697539e-09,2.817318475118579e-09,2.1779658713398147e-09,3.405462276954299e-09,7.038180703181223e-09,-9.487808934569273e-09
1432,2.9672777934086694e-09,5.236780818847845e-09,-4.6739407504248916e-09,1.5833432717582042e-09,-3.0556721693492086e-09,2.0423688887217843e-08,1.3315629645638132e-09,-9.435666846843763e-09,3.387689674104983e-08,-2.1772327321811734e-09,5.739876008970576e-09,-2.5862803706201297e-08,2.346655423018658e-09,4.326716227528694e-09,-2.4197584902599725e-09,1.2221099897948964e-09,2.7962189577701076e-09,2.3897284713401424e-09,3.215823935557254e-09,6.769730096323702e-09,-9.445807680295339e-09
1433,2.847930016679888e-09,5.1024474570212e-09,-4.643771804466732e-09,1.8028844912797512e-09,-2.8828468311959125e-09,2.0527723625253978e-08,1.3432307721962138e-09,-9.391430811463403e-09,3.393000475126703e-08,-2.4258768226455534e-09,5.638333775366553e-09,-2.5986079822482952e-08,2.2075448931902343e-09,4.1202701476506945e-09,-2.024684443303184e-09,1.2052763453633994e-09,2.7181486113332158e-09,2.713944440676548e-09,3.0090631114874295e-09,6.487526016927077e-09,-9.305903401535575e-09
1434,2.708526100030537e-09,4.92989815217349e-09,-4.5008538356778746e-09,2.036962185259963e-09,-2.7069392458084355e-09,2.053149080670998e-08,1.3479436589054136e-09,-9.341393340766617e-09,3.399273897632755e-08,-2.650757958696816e-09,5.524520925722016e-09,-2.6098779082114276e-08,2.057991976934604e-09,3.886295267429956e-09,-1.521226654989423e-09,1.1698175805690061e-09,2.5907507287210594e-09,3.146655351153124e-09,2.7842501236848968e-09,6.190967135428172e-09,-9.071215179937295e-09
1435,2.552587060874742e-09,4.728610212418551e-09,-4.2546089006843564e-09,2.2789028632861466e-09,-2.5353057844046568e-09,2.043579297028473e-08,1.3433351193138237e-09,-9.28683372417142e-09,3.406484965387528e-08,-2.845510236443695e-09,5.398007143806517e-09,-2.6202394038901145e-08,1.9019949031381478e-09,3.6330583526180214e-09,-9.284718096881118e-10,1.1172028677496551e-09,2.4233692380231343e-09,3.672999445190336e-09,2.546843303619833e-09,5.887204453482347e-09,-8.749676175835771e-09
1436,2.3846261787730614e-09,4.50738254791442e-09,-3.919225394397968e-09,2.521067650624132e-09,-2.37374466836446e-09,2.0250909365110092e-08,1.330390103013665e-09,-9.229810151141536e-09,3.414505203004356e-08,-3.0052761426174596e-09,5.2596190921506696e-09,-2.629916241085571e-08,1.744754714591537e-09,3.3694550695657627e-09,-2.724862237808073e-10,1.0499055918029238e-09,2.2265913846994283e-09,4.272487958641919e-09,2.302635310486087e-09,5.581915988070813e-09,-8.354850394996376e-09
1437,2.2035606510709524e-09,4.265755809133979e-09,-3.496329121850359e-09,2.7649653589943202e-09,-2.2233865192247286e-09,1.998268585702684e-08,1.3111326780048145e-09,-9.169450853405585e-09,3.423481491685156e-08,-3.13281855613539e-09,5.105303527807986e-09,-2.639445299296128e-08,1.5862092356512021e-09,3.095400927149638e-09,4.433919805043135e-10,9.67689443488312e-10,2.0042923754351196e-09,4.9463308977771925e-09,2.048826396565438e-09,5.269639492266641e-09,-7.887357607715591e-09
1438,2.0151149971530127e-09,4.010865376534861e-09,-3.0015860369149165e-09,3.0039147440367293e-09,-2.0894357815692026e-09,1.9645009796571063e-08,1.2899106814064164e-09,-9.106772675390009e-09,3.433183781557138e-08,-3.225032114943404e-09,4.93671202096407e-09,-2.6489188361649925e-08,1.4340401105336126e-09,2.8212036352527987e-09,1.1874106882090102e-09,8.750371083907357e-10,1.7666192580748755e-09,5.670354708868639e-09,1.7931179872720777e-09,4.95569107275219e-09,-7.3668565647867556e-09
